Offense,	Team,	POS,	Fan Pts,	PassYds,	PassTD,	PassInt,	Sack,	Pick Six,	RushAtt,	RushYds,	RushTD,	RecYds,	RecTD,	RecTgt,	RetTD,	2PT,	FumTot,	FumLost,,,,
DeAndre Hopkins,Ten,WR,223.60,102,102,0,0,0,0,0,2,9,0,75,1057,7,137,0,0,0,0,
Jordan Addison,Min,WR,221.30,101,101,0,0,0,0,0,1,2,0,70,911,10,108,0,0,0,0,
Saquon Barkley,Phi,RB,221.20,15,15,0,0,0,0,0,247,962,6,41,280,4,60,0,1,2,2,
Jakobi Meyers,LV,WR,220.58,119,119,0,0,0,0,0,4,24,2,71,807,8,106,0,0,0,0,
Tony Pollard,Ten,RB,219.60,82,82,0,0,0,0,0,252,1005,6,55,311,0,67,0,1,3,1,
Travis Kelce,KC,TE,218.40,26,26,0,0,0,0,0,0,0,0,93,984,5,121,0,0,1,1,
TJ Hockenson,Min,TE,218.00,157,157,0,0,0,0,0,0,0,0,95,960,5,127,0,0,1,1,
Justin Fields,Pit,QB,217.18,219,219,2562,16,9,44,0,124,657,4,0,0,0,0,0,10,4,,
Jayden Reed,GB,WR,215.20,78,78,0,0,0,0,0,11,119,2,64,793,8,94,0,1,2,0,
Isiah Pacheco,KC,RB,212.90,18,18,0,0,0,0,0,205,935,7,44,244,2,49,0,0,1,1,
Garrett Wilson,NYJ,WR,211.20,11,11,0,0,0,0,0,4,0,0,95,1042,3,168,0,0,2,2,
Rashee Rice,KC,WR,210.50,73,73,0,0,0,0,0,1,-3,0,79,938,7,102,0,0,2,1,
Jerome Ford,Cle,RB,210.20,122,122,0,0,0,0,0,204,813,4,44,319,5,63,0,1,1,1,
Chris Godwin,TB,WR,209.20,75,75,0,0,0,0,0,4,38,1,83,1024,2,130,0,1,0,0,
Terry McLaurin,Was,WR,209.20,60,60,0,0,0,0,0,0,0,0,79,1002,4,132,0,0,0,0,
Zay Flowers,Bal,WR,206.40,54,54,0,0,0,0,0,8,56,1,77,858,5,108,0,1,0,0,
George Pickens,Pit,WR,205.80,50,50,0,0,0,0,0,3,18,0,63,1140,5,106,0,0,3,0,
David Montgomery,Det,RB,205.20,56,56,0,0,0,0,0,219,1015,13,16,117,0,24,0,1,2,1,
George Kittle,SF,TE,203.20,66,66,0,0,0,0,0,1,2,0,65,1020,6,90,0,0,0,0,
Tyler Lockett,Sea,WR,202.40,110,110,0,0,0,0,0,0,0,0,79,894,5,122,0,2,0,0,
James Conner,Ari,RB,201.50,62,62,0,0,0,0,0,208,1040,7,27,165,2,33,0,0,0,0,
Justin Jefferson,Min,WR,201.20,7,7,0,0,0,0,0,1,-12,0,68,1074,5,100,0,0,1,1,
David Njoku,Cle,TE,199.20,98,98,0,0,0,0,0,0,0,0,81,882,6,123,0,0,2,2,
