Offense,	Team,	POS,	Fan Pts,	PassYds,	PassTD,	PassInt,	Sack,	Pick Six,	RushAtt,	RushYds,	RushTD,	RecYds,	RecTD,	RecTgt,	RetTD,	2PT,	FumTot,	FumLost,,,,
AT Perry,NO,WR,60.60,232,232,0,0,0,0,0,0,0,0,12,246,4,18,0,0,0,0,
Tommy Tremble,Car,TE,60.40,1946,1946,0,0,0,0,0,0,0,0,23,194,3,32,0,0,0,0,
Adam Trautman,Den,TE,60.40,1953,1953,0,0,0,0,0,0,0,0,22,204,3,35,0,0,0,0,
Allen Lazard,NYJ,WR,60.10,1941,1941,0,0,0,0,0,0,0,0,23,311,1,49,0,0,0,0,
Jamaal Williams,NO,RB,59.80,252,252,0,0,0,0,0,106,306,1,18,62,0,20,0,0,1,0,
Jalin Hyatt,NYG,WR,59.30,251,251,0,0,0,0,0,0,0,0,23,373,0,40,0,0,1,0,
Ryan Tannehill,Ten,QB,59.04,2138,2138,1616,4,7,32,74,1,0,0,0,1,0,0,4,0,,,
Isaiah Hodgins,NYG,WR,59.00,1951,1951,0,0,0,0,0,0,0,0,21,230,3,33,0,0,1,1,
Michael Carter,Ari,RB,58.80,288,288,0,0,0,0,0,30,187,0,24,101,1,31,0,0,0,0,
KaVontae Turpin,Dal,WR,58.70,2467,2467,0,0,0,0,0,11,110,1,12,127,3,18,0,0,1,0,
Jalen Tolbert,Dal,WR,57.80,268,268,0,0,0,0,0,0,0,0,22,268,2,36,0,0,1,1,
Tyson Bagent,Chi,QB,57.26,2096,2096,859,3,6,5,0,23,109,2,0,0,0,0,0,0,3,2,
Braxton Berrios,Mia,WR,56.90,2460,2460,0,0,0,0,0,1,11,0,27,238,1,33,0,0,1,0,
Jake Bobo,Sea,WR,56.90,2134,2134,0,0,0,0,0,1,3,1,19,196,2,25,0,0,0,0,
Easton Stick,LAC,QB,55.56,1932,1932,1129,3,1,14,0,27,144,1,0,0,0,0,0,0,5,4,
Marquez Valdes-Scantling,Buf,WR,55.50,346,346,0,0,0,0,0,0,0,0,21,315,1,42,0,0,1,1,
Dawson Knox,Buf,TE,54.60,295,295,0,0,0,0,0,0,0,0,22,186,2,36,0,1,0,0,
Skyy Moore,KC,WR,53.70,315,315,0,0,0,0,0,3,23,0,21,244,1,38,0,0,0,0,
Xavier Gipson,NYJ,WR,53.70,2369,2369,0,0,0,0,0,8,68,1,21,229,0,38,1,0,5,2,
Mitchell Trubisky,Buf,QB,53.68,2115,2115,632,4,5,7,0,16,54,2,0,0,0,0,0,1,1,1,
Chase Brown,Cin,RB,52.50,91,91,0,0,0,0,0,44,179,0,14,156,1,15,0,0,1,0,
Josh Oliver,Min,TE,52.30,1940,1940,0,0,0,0,0,0,0,0,22,213,2,28,0,0,1,1,
Kadarius Toney,KC,WR,52.00,321,321,0,0,0,0,0,11,31,0,27,169,1,38,0,0,1,0,
Zach Ertz,Was,TE,51.70,292,292,0,0,0,0,0,0,0,0,27,187,1,43,0,0,0,0,
Jauan Jennings,SF,WR,51.50,2113,2113,0,0,0,0,0,0,0,0,19,265,1,33,0,0,0,0,
Brevin Jordan,Hou,TE,50.90,1925,1925,0,0,0,0,0,0,0,0,219,2,21,0,0,0,0,,
Calvin Austin III,Pit,WR,50.70,2375,2375,0,0,0,0,0,11,57,0,180,1,30,0,0,2,0,,
Andrei Iosivas,Cin,WR,50.60,212,212,0,0,0,0,0,0,0,0,15,116,4,25,0,0,0,0,
Daniel Bellinger,NYG,TE,50.50,1942,1942,0,0,0,0,0,0,0,0,25,255,0,28,0,0,0,0,
Drew Sample,Cin,TE,50.30,1975,1975,0,0,0,0,0,0,0,0,22,163,2,27,0,0,0,0,
Mike Williams,NYJ,WR,50.20,131,131,0,0,0,0,0,1,3,0,19,249,1,26,0,0,0,0,
Mo Alie-Cox,Ind,TE,49.10,1950,1950,0,0,0,0,0,0,0,0,13,161,3,22,0,1,0,0,
David Bell,Cle,WR,48.70,1974,1974,0,0,0,0,0,0,0,0,14,167,3,23,0,0,0,0,
Austin Hooper,NE,TE,48.40,1964,1964,0,0,0,0,0,0,0,0,25,234,0,31,0,0,0,0,
Elijah Mitchell,SF,RB,47.50,194,194,0,0,0,0,0,75,281,2,6,14,0,8,0,0,0,0,
Hunter Renfrow,LV,WR,47.50,2139,2139,0,0,0,0,0,0,0,0,25,255,0,37,0,0,1,1,
Lil'Jordan Humphrey,Den,WR,47.20,2114,2114,0,0,0,0,0,0,0,0,13,162,3,19,0,0,0,0,
Foster Moreau,NO,TE,46.30,1935,1935,0,0,0,0,0,0,0,0,21,193,1,25,0,0,0,0,
Royce Freeman,Dal,RB,46.20,2125,2125,0,0,0,0,0,77,319,2,1,13,0,2,0,0,0,0,
Bo Melton,GB,WR,45.90,343,343,0,0,0,0,0,3,21,0,16,218,1,24,0,0,0,0,
Matt Breida,SF,RB,45.90,342,342,0,0,0,0,0,55,151,,88,0,21,0,0,1,0,,
Cam Akers,Hou,RB,45.70,347,347,0,0,0,1,0,60,167,2,11,70,0,12,0,0,0,0,
Alex Erickson,LAC,WR,45.20,1961,1961,0,0,0,0,0,0,0,0,16,232,1,29,0,0,0,0,
Jordan Mason,SF,RB,44.70,242,242,0,0,0,0,0,40,206,3,3,31,0,4,0,0,0,0,
Cedric Tillman,Cle,WR,44.20,276,276,0,0,0,0,0,1,8,0,21,224,0,44,0,0,0,0,
Kendre Miller,NO,RB,43.30,177,177,0,0,0,0,0,41,156,1,10,117,0,11,0,0,0,0,
Mack Hollins,Buf,WR,43.10,1987,1987,0,0,0,0,0,0,0,0,18,251,0,30,0,0,0,0,
Salvon Ahmed,Mia,RB,42.90,348,348,0,0,0,0,0,22,61,1,16,88,1,23,0,0,0,0,
Hayden Hurst,LAC,TE,42.40,1923,1923,0,0,0,0,0,0,0,0,18,184,1,32,0,0,0,0,
Pierre Strong Jr,Cle,RB,41.80,309,309,0,0,0,0,0,63,291,1,5,47,0,8,0,0,1,1,
Van Jefferson,Pit,WR,41.30,261,261,0,0,0,0,0,1,4,0,20,209,0,43,0,0,0,0,
Jeff Wilson Jr,Mia,RB,41.30,297,297,0,0,0,0,0,41,188,0,14,85,,0,0,0,0,,
Ameer Abdullah,LV,RB,41.00,2555,2555,0,0,0,0,0,15,89,0,19,131,0,24,0,0,0,0,
Johnny Mundt,Min,TE,40.20,1954,1954,0,0,0,0,0,0,0,,172,1,23,0,0,0,0,,
Will Dissly,LAC,TE,40.20,236,236,0,0,0,0,0,0,0,,172,1,22,0,0,0,0,,
Treylon Burks,Ten,WR,39.90,279,279,0,0,0,0,0,5,18,0,16,221,0,30,0,0,0,0,
Chase Edmonds,TB,RB,39.70,324,324,0,0,0,0,0,49,176,0,14,81,,0,0,0,0,,
Connor Heyward,Pit,TE,39.70,2098,2098,0,0,0,0,0,1,0,0,23,167,0,34,0,0,0,0,
Jamal Agnew,Jax,WR,39.30,2143,2143,0,0,0,0,0,4,-2,0,14,225,1,21,0,0,1,1,
Scotty Miller,Pit,WR,39.10,2463,2463,0,0,0,0,0,0,0,0,11,161,2,16,0,0,0,0,
Kyle Juszczyk,SF,RB,38.50,2478,2478,0,0,0,0,0,5,6,0,14,119,,0,0,0,0,,
Olamide Zaccheaus,Was,WR,38.40,2120,2120,0,0,0,0,0,0,0,0,10,164,2,20,0,0,0,0,
Dalvin Cook,NYJ,RB,38.20,325,325,0,0,0,0,0,67,214,0,15,78,0,20,0,0,2,2,
Deonte Harty,Bal,WR,38.00,2544,2544,0,0,0,0,0,4,0,0,15,150,1,21,1,0,2,1,
Andrew Beck,Hou,RB,37.80,2546,2546,0,0,0,0,0,5,3,1,11,55,2,13,1,0,1,1,
